Date,Time,Booking_ID,Booking_Status,Customer_ID,Vehicle_Type,Pickup_Location,Drop_Location,V_TAT,C_TAT,Canceled_Rides_by_Customer,Canceled_Rides_by_Driver,Incomplete_Rides,Incomplete_Rides_Reason,Booking_Value,Payment_Method,Ride_Distance,Driver_Ratings,Customer_Rating,"Vehicle Images"
"2024-07-17 19:55:00",19:55:00,CNR9027465661,Success,CID737388,"Prime Sedan","BTM Layout",Majestic,168,30,NULL,NULL,No,NULL,1695,UPI,20,4.5,4.7,https://cdn-icons-png.flaticon.com/128/14183/14183770.png
"2024-07-08 9:18:00",9:18:00,CNR2064658821,Success,CID954441,Bike,Peenya,Devanahalli,63,105,NULL,NULL,No,NULL,2271,Cash,37,3.4,4.2,https://cdn-icons-png.flaticon.com/128/9983/9983173.png
"2024-07-07 1:31:00",1:31:00,CNR2149029235,Success,CID596869,Auto,Chickpet,Hennur,154,135,NULL,NULL,No,NULL,240,UPI,4,4,4.9,https://cdn-icons-png.flaticon.com/128/16526/16526595.png
"2024-07-30 1:20:00",1:20:00,CNR9704400677,Success,CID974657,Mini,"Langford Town",Vijayanagar,287,95,NULL,NULL,No,NULL,482,Cash,37,4.4,3.9,https://cdn-icons-png.flaticon.com/128/3202/3202926.png
"2024-07-03 11:25:00",11:25:00,CNR8836460204,Success,CID716037,eBike,Bellandur,Shantinagar,252,45,NULL,NULL,No,NULL,536,UPI,17,3.9,4.4,https://cdn-icons-png.flaticon.com/128/6839/6839867.png
"2024-07-11 10:44:00",10:44:00,CNR3697318609,Success,CID915228,Bike,"Sarjapur Road",Chickpet,287,100,NULL,NULL,No,NULL,188,UPI,37,4.9,4.1,https://cdn-icons-png.flaticon.com/128/9983/9983173.png
"2024-07-26 9:39:00",9:39:00,CNR4445082348,Success,CID336831,Mini,Yelahanka,"BTM Layout",42,40,NULL,NULL,No,NULL,415,UPI,22,3.6,3.1,https://cdn-icons-png.flaticon.com/128/3202/3202926.png
"2024-07-26 6:06:00",6:06:00,CNR5528764313,Success,CID808205,"Prime SUV","Ramamurthy Nagar","Bannerghatta Road",308,145,NULL,NULL,No,NULL,2125,UPI,6,3.8,4.6,https://cdn-icons-png.flaticon.com/128/9983/9983204.png
"2024-07-22 12:51:00",12:51:00,CNR1640228587,Success,CID190281,"Prime Sedan",Kengeri,"Mysore Road",168,135,NULL,NULL,Yes,"Other Issue",704,Cash,42,4.7,4.8,https://cdn-icons-png.flaticon.com/128/14183/14183770.png
"2024-07-19 4:48:00",4:48:00,CNR6684033796,Success,CID352268,Auto,Indiranagar,Whitefield,84,105,NULL,NULL,No,NULL,385,Cash,19,4.1,3.7,https://cdn-icons-png.flaticon.com/128/16526/16526595.png
"2024-07-01 5:03:00",5:03:00,CNR4158584922,Success,CID772392,Auto,"Sahakar Nagar","Ramamurthy Nagar",35,45,NULL,NULL,No,NULL,934,UPI,12,3.3,5,https://cdn-icons-png.flaticon.com/128/16526/16526595.png
"2024-07-26 8:22:00",8:22:00,CNR5661490576,Success,CID546076,Bike,"Magadi Road","Electronic City",56,30,NULL,NULL,No,NULL,2202,Cash,44,4.7,3.4,https://cdn-icons-png.flaticon.com/128/9983/9983173.png
"2024-07-05 12:36:00",12:36:00,CNR2304446757,Success,CID432144,eBike,"Rajarajeshwari Nagar","MG Road",252,145,NULL,NULL,No,NULL,205,Cash,43,4.1,3.1,https://cdn-icons-png.flaticon.com/128/6839/6839867.png
"2024-07-21 8:21:00",8:21:00,CNR1559782157,Success,CID906966,Auto,Ulsoor,Bellandur,182,50,NULL,NULL,No,NULL,247,Cash,8,3.1,3.3,https://cdn-icons-png.flaticon.com/128/16526/16526595.png
"2024-07-13 2:55:00",2:55:00,CNR7623690602,Success,CID526261,Bike,"Cox Town",Malleshwaram,259,75,NULL,NULL,Yes,"Other Issue",558,UPI,41,3.2,3.2,https://cdn-icons-png.flaticon.com/128/9983/9983173.png
"2024-07-08 7:56:00",7:56:00,CNR2098165198,Success,CID619972,"Prime Sedan",Yelahanka,"Ramamurthy Nagar",217,55,NULL,NULL,No,NULL,291,UPI,5,3.8,3.3,https://cdn-icons-png.flaticon.com/128/14183/14183770.png
"2024-07-22 4:32:00",4:32:00,CNR5502012579,Success,CID748475,Mini,Vijayanagar,Kengeri,56,110,NULL,NULL,No,NULL,925,Cash,22,3,4,https://cdn-icons-png.flaticon.com/128/3202/3202926.png
"2024-07-24 21:58:00",21:58:00,CNR4698965967,Success,CID529347,"Prime Sedan","Ramamurthy Nagar",Chickpet,280,30,NULL,NULL,No,NULL,121,Cash,44,3.8,4.5,https://cdn-icons-png.flaticon.com/128/14183/14183770.png
"2024-07-01 11:01:00",11:01:00,CNR3404012927,Success,CID344186,Mini,Chickpet,Chamarajpet,63,130,NULL,NULL,No,NULL,728,Cash,14,4.3,5,https://cdn-icons-png.flaticon.com/128/3202/3202926.png
"2024-07-11 10:50:00",10:50:00,CNR9282027845,Success,CID767941,Bike,Yeshwanthpur,"KR Puram",210,85,NULL,NULL,No,NULL,2416,UPI,49,3.1,3.8,https://cdn-icons-png.flaticon.com/128/9983/9983173.png
"2024-07-07 18:36:00",18:36:00,CNR4241139229,Success,CID133723,"Prime Plus",Kammanahalli,Shivajinagar,203,25,NULL,NULL,No,NULL,258,Cash,32,4.7,4.1,https://cdn-icons-png.flaticon.com/128/11409/11409716.png
"2024-07-04 3:31:00",3:31:00,CNR5744401218,Success,CID507511,Bike,Yelahanka,Varthur,91,25,NULL,NULL,No,NULL,220,UPI,2,3.4,3.1,https://cdn-icons-png.flaticon.com/128/9983/9983173.png
"2024-07-16 10:15:00",10:15:00,CNR7221640450,Success,CID195611,"Prime Sedan","RT Nagar",Whitefield,301,145,NULL,NULL,No,NULL,472,UPI,16,3.3,4.5,https://cdn-icons-png.flaticon.com/128/14183/14183770.png
"2024-07-15 9:20:00",9:20:00,CNR3750351374,Success,CID524066,"Prime SUV","Mysore Road",Peenya,42,130,NULL,NULL,No,NULL,473,Cash,49,4,4.2,https://cdn-icons-png.flaticon.com/128/9983/9983204.png
"2024-07-04 18:13:00",18:13:00,CNR2869164142,Success,CID884352,"Prime SUV","BTM Layout",Malleshwaram,126,115,NULL,NULL,No,NULL,259,Cash,11,4.8,4.5,https://cdn-icons-png.flaticon.com/128/9983/9983204.png
"2024-07-27 11:58:00",11:58:00,CNR8303547069,Success,CID471469,Mini,"Langford Town","Richmond Town",77,35,NULL,NULL,No,NULL,310,"Credit Card",2,3.3,3.1,https://cdn-icons-png.flaticon.com/128/3202/3202926.png
"2024-07-30 10:14:00",10:14:00,CNR7500310853,Success,CID377809,"Prime Sedan",Jayanagar,"Richmond Town",189,85,NULL,NULL,No,NULL,471,UPI,39,3.5,3.7,https://cdn-icons-png.flaticon.com/128/14183/14183770.png
"2024-07-13 21:23:00",21:23:00,CNR8925319975,Success,CID388701,"Prime Sedan",Yelahanka,Rajajinagar,287,125,NULL,NULL,No,NULL,442,UPI,37,4.1,4.5,https://cdn-icons-png.flaticon.com/128/14183/14183770.png
"2024-07-29 19:56:00",19:56:00,CNR9261561390,Success,CID853883,Auto,Koramangala,Majestic,175,65,NULL,NULL,No,NULL,228,Cash,10,3.7,4.3,https://cdn-icons-png.flaticon.com/128/16526/16526595.png
"2024-07-08 7:52:00",7:52:00,CNR5613886410,Success,CID107686,Auto,Marathahalli,"KR Puram",266,65,NULL,NULL,No,NULL,2604,UPI,10,3.8,4.1,https://cdn-icons-png.flaticon.com/128/16526/16526595.png
"2024-07-16 4:52:00",4:52:00,CNR5841521780,Success,CID768996,"Prime SUV","Ramamurthy Nagar",Varthur,210,120,NULL,NULL,No,NULL,274,Cash,37,3.1,3.6,https://cdn-icons-png.flaticon.com/128/9983/9983204.png
"2024-07-26 16:05:00",16:05:00,CNR2959980296,Success,CID509309,Bike,"Hosur Road","Richmond Town",91,60,NULL,NULL,No,NULL,279,Cash,34,4.5,3.2,https://cdn-icons-png.flaticon.com/128/9983/9983173.png
"2024-07-26 23:32:00",23:32:00,CNR6765124275,Success,CID630281,"Prime Sedan",Chamarajpet,Banashankari,294,45,NULL,NULL,No,NULL,1946,Cash,16,3,3.5,https://cdn-icons-png.flaticon.com/128/14183/14183770.png
"2024-07-05 4:23:00",4:23:00,CNR9762994658,Success,CID443169,"Prime Plus","RT Nagar","Sahakar Nagar",231,65,NULL,NULL,No,NULL,1024,UPI,4,4.8,4.1,https://cdn-icons-png.flaticon.com/128/11409/11409716.png
"2024-07-23 19:44:00",19:44:00,CNR8116331340,Success,CID777382,Auto,"RT Nagar","Sarjapur Road",266,55,NULL,NULL,No,NULL,252,UPI,8,4,4.8,https://cdn-icons-png.flaticon.com/128/16526/16526595.png
"2024-07-28 10:29:00",10:29:00,CNR3491700602,Success,CID247449,Mini,"Richmond Town","Langford Town",84,145,NULL,NULL,No,NULL,2542,UPI,2,3.5,4.1,https://cdn-icons-png.flaticon.com/128/3202/3202926.png
"2024-07-19 15:04:00",15:04:00,CNR2166456022,Success,CID930312,Mini,Yeshwanthpur,Indiranagar,266,75,NULL,NULL,No,NULL,1821,Cash,34,4.4,4.7,https://cdn-icons-png.flaticon.com/128/3202/3202926.png
"2024-07-12 8:33:00",8:33:00,CNR2177201692,Success,CID614111,Mini,"Richmond Town",Yeshwanthpur,105,145,NULL,NULL,No,NULL,200,Cash,31,4.9,4,https://cdn-icons-png.flaticon.com/128/3202/3202926.png
"2024-07-25 11:15:00",11:15:00,CNR4484571820,Success,CID645793,Auto,"HSR Layout","Hosur Road",133,145,NULL,NULL,No,NULL,2388,Cash,4,4.4,3.6,https://cdn-icons-png.flaticon.com/128/16526/16526595.png
"2024-07-28 6:34:00",6:34:00,CNR7377461832,Success,CID719814,eBike,Ulsoor,Padmanabhanagar,77,100,NULL,NULL,No,NULL,783,Cash,37,3.5,3.5,https://cdn-icons-png.flaticon.com/128/6839/6839867.png
"2024-07-17 7:28:00",7:28:00,CNR2976802436,Success,CID592039,"Prime SUV","Tumkur Road","Cox Town",168,50,NULL,NULL,No,NULL,1181,UPI,10,3.4,4.9,https://cdn-icons-png.flaticon.com/128/9983/9983204.png
"2024-07-20 13:53:00",13:53:00,CNR1945536909,Success,CID796614,Auto,"Sahakar Nagar","JP Nagar",224,80,NULL,NULL,No,NULL,441,Cash,7,3,3.1,https://cdn-icons-png.flaticon.com/128/16526/16526595.png
"2024-07-10 2:02:00",2:02:00,CNR8097291227,Success,CID734844,"Prime Plus","Mysore Road",Rajajinagar,238,25,NULL,NULL,No,NULL,332,UPI,38,3.8,3.4,https://cdn-icons-png.flaticon.com/128/11409/11409716.png
"2024-07-12 16:22:00",16:22:00,CNR1433815646,Success,CID307267,"Prime SUV",Banashankari,Marathahalli,42,65,NULL,NULL,No,NULL,832,Cash,11,3.4,4.1,https://cdn-icons-png.flaticon.com/128/9983/9983204.png
"2024-07-15 6:58:00",6:58:00,CNR5876056264,Success,CID568720,"Prime SUV",Kadugodi,Shantinagar,231,30,NULL,NULL,No,NULL,1361,UPI,47,4,3.9,https://cdn-icons-png.flaticon.com/128/9983/9983204.png
"2024-07-28 7:06:00",7:06:00,CNR5599931622,Success,CID822709,"Prime SUV",Peenya,"Frazer Town",42,55,NULL,NULL,No,NULL,747,Cash,28,3.8,3,https://cdn-icons-png.flaticon.com/128/9983/9983204.png
"2024-07-02 1:54:00",1:54:00,CNR6776927575,Success,CID817693,Bike,"Hosur Road",Nagarbhavi,245,55,NULL,NULL,No,NULL,129,Cash,5,4.4,4.2,https://cdn-icons-png.flaticon.com/128/9983/9983173.png
"2024-07-10 18:38:00",18:38:00,CNR4880622143,Success,CID602848,eBike,Rajajinagar,Kammanahalli,98,100,NULL,NULL,No,NULL,296,UPI,34,3.3,4.2,https://cdn-icons-png.flaticon.com/128/6839/6839867.png
"2024-07-27 3:13:00",3:13:00,CNR2841702950,Success,CID268274,Auto,"Sarjapur Road","Sarjapur Road",231,105,NULL,NULL,No,NULL,337,UPI,18,4.5,4.2,https://cdn-icons-png.flaticon.com/128/16526/16526595.png
"2024-07-09 14:52:00",14:52:00,CNR2747846957,Success,CID700413,"Prime Sedan",Majestic,Malleshwaram,308,140,NULL,NULL,No,NULL,896,UPI,45,4,4.1,https://cdn-icons-png.flaticon.com/128/14183/14183770.png
"2024-07-05 9:33:00",9:33:00,CNR4795488474,Success,CID943263,"Prime Sedan",Peenya,"Frazer Town",189,60,NULL,NULL,No,NULL,151,"Credit Card",11,4,4.8,https://cdn-icons-png.flaticon.com/128/14183/14183770.png
"2024-07-06 10:00:00",10:00:00,CNR6662649739,Success,CID295666,Auto,"Ramamurthy Nagar",Banashankari,189,35,NULL,NULL,No,NULL,940,"Debit Card",7,3.2,3.5,https://cdn-icons-png.flaticon.com/128/16526/16526595.png
"2024-07-10 9:28:00",9:28:00,CNR2524442918,Success,CID471692,"Prime Plus",Hulimavu,"RT Nagar",98,140,NULL,NULL,No,NULL,729,"Credit Card",13,4.5,5,https://cdn-icons-png.flaticon.com/128/11409/11409716.png
"2024-07-01 10:12:00",10:12:00,CNR4977956798,Success,CID782900,Auto,Banashankari,"Sarjapur Road",189,45,NULL,NULL,No,NULL,128,Cash,1,4.6,4.8,https://cdn-icons-png.flaticon.com/128/16526/16526595.png
"2024-07-26 15:07:00",15:07:00,CNR2002215420,Success,CID109502,"Prime SUV",Whitefield,"BTM Layout",77,75,NULL,NULL,No,NULL,274,Cash,42,4,3.4,https://cdn-icons-png.flaticon.com/128/9983/9983204.png
"2024-07-13 4:23:00",4:23:00,CNR9590311980,Success,CID957268,Auto,"Bannerghatta Road","Tumkur Road",105,25,NULL,NULL,Yes,"Customer Demand",352,Cash,8,5,3.8,https://cdn-icons-png.flaticon.com/128/16526/16526595.png
"2024-07-30 5:14:00",5:14:00,CNR3124565731,Success,CID578023,Auto,Basavanagudi,Chickpet,189,55,NULL,NULL,No,NULL,238,UPI,6,4.5,3,https://cdn-icons-png.flaticon.com/128/16526/16526595.png
"2024-07-20 11:34:00",11:34:00,CNR6090870401,Success,CID301446,"Prime SUV","Ramamurthy Nagar","KR Puram",280,30,NULL,NULL,No,NULL,477,Cash,19,4.1,4.3,https://cdn-icons-png.flaticon.com/128/9983/9983204.png
"2024-07-23 15:38:00",15:38:00,CNR9405757355,Success,CID176162,Auto,"Richmond Town",Banashankari,196,145,NULL,NULL,No,NULL,186,UPI,15,4.7,4.6,https://cdn-icons-png.flaticon.com/128/16526/16526595.png
"2024-07-10 18:52:00",18:52:00,CNR4166475803,Success,CID615978,"Prime SUV",Banashankari,Yelahanka,168,90,NULL,NULL,No,NULL,193,UPI,13,3.8,3.2,https://cdn-icons-png.flaticon.com/128/9983/9983204.png
